DateOfManufacturing,Dept,fueltype,manufacturer,Recommended Service,VehicleID,Vehicle Type
"2011","Public Transport","Diesel","Alsa","12267","BUS537","Bus"
"2011","Public Transport","Diesel","Damas","13439","BUS223","Bus"
"2012","Public Transport","Diesel","Indcar","7575","MBUS082","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7200","MBUS561","Mini Bus"
"2015","Public Transport","Electricity","Irizar","14700","EBUS247","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7575","MBUS276","Mini Bus"
"2020","Public Transport","Diesel","Damas","14140","BUS087","Bus"
"2002","Public Transport","Electricity","Irizar","14400","EBUS058","Electric Bus"
"2004","Public Transport","Electricity","Irizar","14850","EBUS121","Electric Bus"
"2006","EMS","Diesel","Mercedez-Benz","10100","AMB011","Ambulance"
"2009","Public Transport","Electricity","Irizar","14700","EBUS004","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13681","BUS158","Bus"
"2011","Public Transport","Diesel","Alsa","12263","BUS538","Bus"
"2011","Public Transport","Diesel","Damas","13435","BUS224","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS090","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7425","MBUS588","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15150","EBUS249","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7350","MBUS279","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14550","EBUS006","Electric Bus"
"2002","Public Transport","Electricity","Irizar","14400","EBUS098","Electric Bus"
"2004","Public Transport","Electricity","Irizar","15600","EBUS122","Electric Bus"
"2006","EMS","Petrol","BMW","7680","SUV024","SUV"
"2009","Public Transport","Electricity","Irizar","14850","EBUS013","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13678","BUS159","Bus"
"2011","Public Transport","Diesel","Alsa","12259","BUS539","Bus"
"2011","Public Transport","Diesel","Damas","13428","BUS226","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS101","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7200","MBUS591","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15300","EBUS252","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7575","MBUS306","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14400","EBUS023","Electric Bus"
"2002","Public Transport","Electricity","Irizar","14400","EBUS138","Electric Bus"
"2004","Public Transport","Electricity","Irizar","14850","EBUS161","Electric Bus"
"2006","Fire","Diesel","Rosenbauer","11400","FRT014","Fire Truck"
"2009","Public Transport","Electricity","Irizar","15600","EBUS017","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13666","BUS162","Bus"
"2011","Public Transport","Diesel","Alsa","12233","BUS546","Bus"
"2011","Public Transport","Diesel","Damas","13416","BUS229","Bus"
"2012","Public Transport","Diesel","Indcar","7575","MBUS112","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7425","MBUS618","Mini Bus"
"2015","Public Transport","Electricity","Irizar","14700","EBUS287","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7350","MBUS309","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14550","EBUS046","Electric Bus"
"2002","Public Transport","Electricity","Irizar","14400","EBUS178","Electric Bus"
"2004","Public Transport","Electricity","Irizar","15600","EBUS162","Electric Bus"
"2006","Police","Petrol","Citroen","5250","POL010","Police Car"
"2009","Public Transport","Electricity","Irizar","14250","EBUS034","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13663","BUS163","Bus"
"2011","Public Transport","Diesel","Alsa","12229","BUS547","Bus"
"2011","Public Transport","Diesel","Damas","13398","BUS234","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS120","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7200","MBUS621","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15150","EBUS289","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7575","MBUS336","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14400","EBUS063","Electric Bus"
"2002","Public Transport","Electricity","Irizar","14400","EBUS218","Electric Bus"
"2004","Public Transport","Electricity","Irizar","14850","EBUS201","Electric Bus"
"2006","Police","Petrol","Ford","5200","POL023","Police Car"
"2009","Public Transport","Electricity","Irizar","14250","EBUS036","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13659","BUS164","Bus"
"2011","Public Transport","Diesel","Alsa","12222","BUS549","Bus"
"2011","Public Transport","Diesel","Damas","13394","BUS235","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS131","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7425","MBUS648","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15300","EBUS292","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7350","MBUS339","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14550","EBUS086","Electric Bus"
"2002","Public Transport","Electricity","Irizar","14400","EBUS258","Electric Bus"
"2004","Public Transport","Electricity","Irizar","15600","EBUS202","Electric Bus"
"2006","Public Transport","Diesel","Alsa","14560","BUS046","Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS037","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13633","BUS171","Bus"
"2011","Public Transport","Diesel","Alsa","12196","BUS556","Bus"
"2011","Public Transport","Diesel","Damas","13383","BUS238","Bus"
"2012","Public Transport","Diesel","Indcar","7575","MBUS142","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7200","MBUS651","Mini Bus"
"2015","Public Transport","Electricity","Irizar","14700","EBUS327","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7575","MBUS366","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14400","EBUS103","Electric Bus"
"2002","Public Transport","Electricity","Irizar","14400","EBUS298","Electric Bus"
"2004","Public Transport","Electricity","Irizar","14850","EBUS241","Electric Bus"
"2006","Public Transport","Diesel","Alsa","14000","BUS095","Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS039","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13629","BUS172","Bus"
"2011","Public Transport","Diesel","Alsa","12192","BUS557","Bus"
"2011","Public Transport","Diesel","Damas","13372","BUS241","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS150","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7425","MBUS678","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15150","EBUS329","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7350","MBUS369","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14550","EBUS126","Electric Bus"
"2002","Public Transport","Electricity","Irizar","14400","EBUS338","Electric Bus"
"2004","Public Transport","Electricity","Irizar","15600","EBUS242","Electric Bus"
"2006","Public Transport","Diesel","Damas","14140","BUS013","Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS044","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13622","BUS174","Bus"
"2011","Public Transport","Diesel","Alsa","12173","BUS562","Bus"
"2011","Public Transport","Diesel","Damas","13360","BUS244","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS161","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7200","MBUS681","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15300","EBUS332","Electric Bus"
"2017","Public Transport","Diesel","Damas","14280","BUS064","Bus"
"2020","Public Transport","Electricity","Irizar","14400","EBUS143","Electric Bus"
"2002","Public Transport","Electricity","Irizar","14400","EBUS378","Electric Bus"
"2004","Public Transport","Electricity","Irizar","14850","EBUS281","Electric Bus"
"2006","Public Transport","Diesel","Damas","14420","BUS031","Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS053","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13596","BUS181","Bus"
"2011","Public Transport","Diesel","Alsa","12162","BUS565","Bus"
"2011","Public Transport","Diesel","Damas","13349","BUS247","Bus"
"2012","Public Transport","Diesel","Indcar","7575","MBUS172","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7425","MBUS708","Mini Bus"
"2015","Public Transport","Electricity","Irizar","14700","EBUS367","Electric Bus"
"2017","Public Transport","Diesel","Indcar","7575","MBUS396","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14550","EBUS166","Electric Bus"
"2002","Public Transport","Electricity","Irizar","14400","EBUS418","Electric Bus"
"2004","Public Transport","Electricity","Irizar","15600","EBUS282","Electric Bus"
"2006","Public Transport","Diesel","Damas","13300","BUS041","Bus"
"2009","Public Transport","Electricity","Irizar","15600","EBUS057","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13592","BUS182","Bus"
"2011","Public Transport","Diesel","Avanza","13720","BUS053","Bus"
"2011","Public Transport","Diesel","Damas","13342","BUS249","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS180","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7200","MBUS711","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15150","EBUS369","Electric Bus"
"2017","Public Transport","Diesel","Indcar","7350","MBUS399","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14400","EBUS183","Electric Bus"
"2003","EMS","Diesel","Daimler","9600","AMB025","Ambulance"
"2004","Public Transport","Electricity","Irizar","14850","EBUS321","Electric Bus"
"2006","Public Transport","Diesel","Damas","14280","BUS083","Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS074","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13573","BUS187","Bus"
"2011","Public Transport","Diesel","Avanza","14140","BUS081","Bus"
"2011","Public Transport","Diesel","Damas","13334","BUS251","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS191","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7425","MBUS738","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15300","EBUS372","Electric Bus"
"2017","Public Transport","Diesel","Indcar","7575","MBUS426","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14550","EBUS206","Electric Bus"
"2003","EMS","Petrol","SEAT","8000","SUV018","SUV"
"2004","Public Transport","Electricity","Irizar","15600","EBUS322","Electric Bus"
"2006","Public Transport","Electricity","Irizar","15600","EBUS026","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS076","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13562","BUS190","Bus"
"2011","Public Transport","Diesel","Avanza","13887","BUS103","Bus"
"2011","Public Transport","Diesel","Damas","13323","BUS254","Bus"
"2012","Public Transport","Diesel","Indcar","7575","MBUS202","Mini Bus"
"2014","Public Transport","Diesel","Damas","14000","BUS068","Bus"
"2015","Public Transport","Electricity","Irizar","14700","EBUS407","Electric Bus"
"2017","Public Transport","Diesel","Indcar","7350","MBUS429","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14400","EBUS223","Electric Bus"
"2003","Fire","Diesel","MORITA","11640","FRT007","Fire Truck"
"2004","Public Transport","Electricity","Irizar","14850","EBUS361","Electric Bus"
"2006","Public Transport","Electricity","Irizar","15600","EBUS066","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS077","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13558","BUS191","Bus"
"2011","Public Transport","Diesel","Avanza","13875","BUS106","Bus"
"2011","Public Transport","Diesel","Damas","13304","BUS259","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS210","Mini Bus"
"2014","Public Transport","Diesel","Damas","13580","BUS093","Bus"
"2015","Public Transport","Electricity","Irizar","15150","EBUS409","Electric Bus"
"2017","Public Transport","Diesel","Indcar","7575","MBUS456","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14550","EBUS246","Electric Bus"
"2003","Fire","Diesel","Rosenbauer","11400","FRT015","Fire Truck"
"2004","Public Transport","Electricity","Irizar","15600","EBUS362","Electric Bus"
"2006","Public Transport","Electricity","Irizar","15600","EBUS106","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS079","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13554","BUS192","Bus"
"2011","Public Transport","Diesel","Avanza","13834","BUS117","Bus"
"2011","Public Transport","Diesel","Damas","13301","BUS260","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS221","Mini Bus"
"2014","Public Transport","Diesel","Damas","14000","BUS094","Bus"
"2015","Public Transport","Electricity","Irizar","15300","EBUS412","Electric Bus"
"2017","Public Transport","Diesel","Indcar","7350","MBUS459","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14400","EBUS263","Electric Bus"
"2003","Police","Petrol","Citroen","5200","POL009","Police Car"
"2004","Public Transport","Electricity","Irizar","14850","EBUS401","Electric Bus"
"2006","Public Transport","Electricity","Irizar","15600","EBUS146","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS084","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13547","BUS194","Bus"
"2011","Public Transport","Diesel","Avanza","13823","BUS120","Bus"
"2011","Public Transport","Diesel","Damas","13289","BUS263","Bus"
"2012","Public Transport","Diesel","Indcar","7575","MBUS232","Mini Bus"
"2014","Public Transport","Diesel","Damas","13860","BUS096","Bus"
"2016","EMS","Diesel","Daimler","10500","AMB020","Ambulance"
"2017","Public Transport","Diesel","Indcar","7575","MBUS486","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14550","EBUS286","Electric Bus"
"2003","Police","Petrol","Ford","5150","POL017","Police Car"
"2004","Public Transport","Electricity","Irizar","15600","EBUS402","Electric Bus"
"2006","Public Transport","Electricity","Irizar","15600","EBUS186","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS093","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13532","BUS198","Bus"
"2011","Public Transport","Diesel","Avanza","13812","BUS123","Bus"
"2011","Public Transport","Diesel","Damas","13278","BUS266","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS240","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7425","MBUS018","Mini Bus"
"2016","EMS","Petrol","BMW","7920","SUV004","SUV"
"2017","Public Transport","Diesel","Indcar","7350","MBUS489","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14400","EBUS303","Electric Bus"
"2003","Police","Petrol","Ford","4900","POL031","Police Car"
"2005","EMS","Diesel","Lafuncar","10500","AMB019","Ambulance"
"2006","Public Transport","Electricity","Irizar","15600","EBUS226","Electric Bus"
"2009","Public Transport","Electricity","Irizar","15600","EBUS097","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13528","BUS199","Bus"
"2011","Public Transport","Diesel","Avanza","13805","BUS125","Bus"
"2011","Public Transport","Diesel","Damas","13267","BUS269","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS251","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7200","MBUS021","Mini Bus"
"2016","EMS","Petrol","BMW","8400","SUV017","SUV"
"2017","Public Transport","Diesel","Indcar","7575","MBUS516","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14550","EBUS326","Electric Bus"
"2003","Police","Petrol","Ford","5100","POL035","Police Car"
"2005","EMS","Diesel","Lafuncar","9600","AMB028","Ambulance"
"2006","Public Transport","Electricity","Irizar","15600","EBUS266","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS114","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13521","BUS201","Bus"
"2011","Public Transport","Diesel","Avanza","13793","BUS128","Bus"
"2011","Public Transport","Diesel","Damas","13256","BUS272","Bus"
"2012","Public Transport","Diesel","Indcar","7575","MBUS262","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7425","MBUS048","Mini Bus"
"2016","Police","Petrol","Citroen","5150","POL025","Police Car"
"2017","Public Transport","Diesel","Indcar","7350","MBUS519","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14400","EBUS343","Electric Bus"
"2003","Public Transport","Diesel","Avanza","13860","BUS035","Bus"
"2005","EMS","Petrol","BMW","7680","SUV013","SUV"
"2006","Public Transport","Electricity","Irizar","15600","EBUS306","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS116","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13498","BUS207","Bus"
"2011","Public Transport","Diesel","Avanza","13782","BUS131","Bus"
"2011","Public Transport","Diesel","Damas","13248","BUS274","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS270","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7200","MBUS051","Mini Bus"
"2016","Public Transport","Diesel","Alsa","13720","BUS014","Bus"
"2017","Public Transport","Diesel","Indcar","7575","MBUS546","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14550","EBUS366","Electric Bus"
"2003","Public Transport","Diesel","Ayats","7650","MBUS004","Mini Bus"
"2005","EMS","Petrol","SEAT","7680","SUV007","SUV"
"2006","Public Transport","Electricity","Irizar","15600","EBUS346","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS117","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13487","BUS210","Bus"
"2011","Public Transport","Diesel","Avanza","13741","BUS142","Bus"
"2011","Public Transport","Diesel","Damas","13222","BUS281","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS281","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7425","MBUS078","Mini Bus"
"2016","Public Transport","Diesel","Alsa","13580","BUS030","Bus"
"2017","Public Transport","Diesel","Indcar","7350","MBUS549","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14400","EBUS383","Electric Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS010","Mini Bus"
"2005","Fire","Diesel","Rosenbauer","11640","FRT013","Fire Truck"
"2006","Public Transport","Electricity","Irizar","15600","EBUS386","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS119","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13484","BUS211","Bus"
"2011","Public Transport","Diesel","Avanza","13730","BUS145","Bus"
"2011","Public Transport","Diesel","Damas","13189","BUS290","Bus"
"2012","Public Transport","Diesel","Indcar","7575","MBUS292","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7200","MBUS081","Mini Bus"
"2017","Public Transport","Diesel","Indcar","7575","MBUS576","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14550","EBUS406","Electric Bus"
"2003","Public Transport","Diesel","Ayats","7650","MBUS034","Mini Bus"
"2005","Police","Petrol","Citroen","5150","POL029","Police Car"
"2006","Public Transport","Electricity","Irizar","15600","EBUS426","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS124","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13472","BUS214","Bus"
"2011","Public Transport","Diesel","Avanza","13719","BUS148","Bus"
"2011","Public Transport","Diesel","Damas","13185","BUS291","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS300","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7425","MBUS108","Mini Bus"
"2017","Public Transport","Diesel","Indcar","7350","MBUS579","Mini Bus"
"2020","Public Transport","Electricity","Irizar","14400","EBUS423","Electric Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS040","Mini Bus"
"2005","Police","Petrol","Ford","4950","POL027","Police Car"
"2007","EMS","Diesel","Daimler","9800","AMB018","Ambulance"
"2009","Public Transport","Electricity","Irizar","14850","EBUS133","Electric Bus"
"2011","Public Transport","Diesel","Avanza","13711","BUS150","Bus"
"2011","Public Transport","Diesel","Damas","13181","BUS292","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS311","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7200","MBUS111","Mini Bus"
"2021","EMS","Diesel","Lafuncar","10100","AMB003","Ambulance"
"2003","Public Transport","Diesel","Ayats","7650","MBUS064","Mini Bus"
"2011","Public Transport","Diesel","Avanza","13707","BUS151","Bus"
"2011","Public Transport","Diesel","Damas","13177","BUS293","Bus"
"2012","Public Transport","Diesel","Indcar","7575","MBUS322","Mini Bus"
"2021","EMS","Diesel","Lafuncar","10400","AMB005","Ambulance"
"2003","Public Transport","Diesel","Ayats","7725","MBUS070","Mini Bus"
"2011","Public Transport","Diesel","Avanza","13685","BUS157","Bus"
"2011","Public Transport","Diesel","Damas","13174","BUS294","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS330","Mini Bus"
"2011","Public Transport","Diesel","Avanza","13674","BUS160","Bus"
"2011","Public Transport","Diesel","Damas","13170","BUS295","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS341","Mini Bus"
"2011","Public Transport","Diesel","Avanza","13670","BUS161","Bus"
"2011","Public Transport","Diesel","Damas","13151","BUS300","Bus"
"2012","Public Transport","Diesel","Indcar","7575","MBUS352","Mini Bus"
"2011","Public Transport","Diesel","Avanza","13625","BUS173","Bus"
"2011","Public Transport","Diesel","Damas","13148","BUS301","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS360","Mini Bus"
"2011","Public Transport","Diesel","Avanza","13607","BUS178","Bus"
"2011","Public Transport","Diesel","Damas","13144","BUS302","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS371","Mini Bus"
"2011","Public Transport","Diesel","Avanza","13581","BUS185","Bus"
"2011","Public Transport","Diesel","Damas","13136","BUS304","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS390","Mini Bus"
"2011","Public Transport","Diesel","Avanza","13577","BUS186","Bus"
"2011","Public Transport","Diesel","Damas","13133","BUS305","Bus"
"2011","Public Transport","Diesel","Avanza","13536","BUS197","Bus"
"2011","Public Transport","Diesel","Damas","13121","BUS308","Bus"
"2011","Public Transport","Diesel","Avanza","13525","BUS200","Bus"
"2011","Public Transport","Diesel","Avanza","13506","BUS205","Bus"
